Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
John Kasich	0	Since 1904, the Ohio victor has won the presidency 25 out of 27 times	We can pick 'em, but we don't often decide the winner	/ohio/statements/2010/jul/23/john-kasich/ohios-voter-opinions-steady-bellwether-presidentia/
John Kasich	1	I took the state of Ohio from an $8 billion hole  to a $2 billion surplus.	With a big assist from the national recovery	/truth-o-meter/statements/2015/aug/06/john-kasich/kasich-i-took-state-ohio-8-billion-hole-2-billion-/
John Kasich	1	We're up 123,000 jobs over the last year and three-quarters. We're actually, according to the Bureau of Labor statistics, down 500 ... auto jobs in Ohio.	Selective time frame misses auto jobs boost	/ohio/statements/2012/oct/05/john-kasich/while-ohio-123000-jobs-2011-auto-jobs-are-down-joh/
John Kasich	1	Giving the facts: 73,000 jobs created ... since '11. Do you know how many direct jobs in the auto industry? 1,800.	Careful phrasing drives the accuracy in this car claim	/ohio/statements/2012/jun/13/john-kasich/john-kasich-downplays-role-auto-bailouts-ohios-eco/
John Kasich	1	When I started in Ohio it was terrible. Now, were getting bipartisan support for our bills. And thats called leadership.	Governor getting more support for key bills	/ohio/statements/2012/jun/11/john-kasich/gov-john-kasich-says-his-leadership-has-led-more-b/
John Kasich	1	We are now eighth in the nation in job creation . . . we are No. 1 in the Midwest.	Biggest states top new jobs list	/ohio/statements/2012/jan/06/john-kasich/john-kasich-says-ohio-no-8-job-creation-no-1-midwe/
John Kasich	1	One-third of our college grads leave Ohio within three years.	Some might be here, but jobless	/ohio/statements/2011/nov/17/john-kasich/gov-john-kasich-says-one-third-ohios-college-grads/
John Kasich	1	We jumped 11 places since beginning this year in terms of being job-friendly.	A catchier phrase than saying "We're No. 23"	/ohio/statements/2011/jul/21/john-kasich/gov-john-kasich-touts-ohios-improvement-cnbc-busin/
John Kasich	1	We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.	Data getting old, but still appears pretty much on point	/ohio/statements/2011/may/30/john-kasich/gov-john-kasich-says-ohio-near-bottom-classroom-sp/
John Kasich	1	Ohio ranks 46th in the country in putting dollars in the classroom.	Just 57 percent looks bad on any grade card 	/ohio/statements/2010/nov/30/john-kasich/gov-elect-john-kasich-says-ohios-classroom-educati/
John Kasich	1	(Strickland) raised taxes last year to the tune of $840 million.	Republicans also voted for the 'increase'	/ohio/statements/2010/oct/13/john-kasich/gop-challengers-labels-ohio-gov-ted-stricklands-ta/
John Kasich	2	The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements.	Payroll actually is slightly larger	/ohio/statements/2012/mar/15/john-kasich/john-kasich-says-states-payroll-smaller-and-retire/
John Kasich	2	In this bill that Ive just signed, we dont cut anybodys salary. We dont take away their pension. And we dont destroy their health care.	Shifting pension, health premiums apt to cut take home pay	/ohio/statements/2011/apr/19/john-kasich/gov-john-kasich-says-new-state-labor-law-doesnt-cu/
John Kasich	2	They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.	Speed figure isn't on board with revised estimates	/ohio/statements/2010/dec/08/john-kasich/ohio-gov-elect-john-kasich-rejects-passenger-train/
John Kasich	2	(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.	A guy named Clinton, and others, had a role in it, too	/ohio/statements/2010/oct/31/john-kasich/john-kasich-touts-role-balancing-budget-creating-s/
John Kasich	2	The total number of dollars that passes through the Department of Development is like $900 million and like $650 (million) of it has nothing to do with development, which is breathtaking when you think about it.	Claim ignores that the department has broad duties	/ohio/statements/2010/sep/22/john-kasich/john-kasich-claims-ohios-department-development-on/
John Kasich	2	You cant raise taxes in Ohio. We are one of the highest taxed states in the country.	How to best rank states a taxing dilemma	/ohio/statements/2010/sep/15/john-kasich/john-kasich-says-ohio-one-most-taxed-states/
John Kasich	3	We have asked public employees to pay 10 percent of the costs of their guaranteed pension and 15 percent of the cost of their health care. ... The leadership of those public employees unions don't want to pay anything.	Broad-brush claim paints blame too widely	/ohio/statements/2011/sep/27/john-kasich/gov-john-kasich-says-leadership-public-unions-unwi/
John Kasich	3	Since the beginning of the year we've created a net increase of 45,000 jobs.	Who created them? Jobs have grown steadily more than a year	/ohio/statements/2011/sep/12/john-kasich/gov-john-kasich-touts-administration-role-creating/
John Kasich	3	The president came in and campaigned against me 12 times.	He keeps saying it, but the Truth-O-Meter isn't budging	/ohio/statements/2011/jun/17/john-kasich/gov-john-kasich-still-claiming-obama-made-dozen-ca/
John Kasich	3	Two million federal workers negotiate zippo, zero. There is no collective bargaining for federal employees.	Not 'zippo,' but very limited 	/ohio/statements/2011/may/10/john-kasich/gov-john-kasich-says-federal-workers-have-zippo-ze/
John Kasich	3	President Obama came to Ohio 12 times to try to defeat me and guess what? He didn't win.	Only 3 visits involved the governor's race	/ohio/statements/2011/feb/25/john-kasich/gov-john-kasich-says-barack-obama-came-ohio-12-tim/
John Kasich	4	Were the seventh highest taxed state in America. And thats not just state, its local as well.	Out-of-date data taxes this claim's accuracy	/ohio/statements/2011/jun/06/john-kasich/gov-john-kasich-says-ohioans-carry-seventh-heavies/
John Kasich	4	State employees are actually going to get a pay raise.	No pay raise. More money for more hours of work 	/ohio/statements/2011/may/03/john-kasich/gov-john-kasich-claims-state-workers-will-get-pay-/
John Kasich	4	Ohio has lost more population than every other state in the country except for two.	Claim of decline doesn't add up 	/ohio/statements/2011/jan/05/john-kasich/ohio-gov-elect-john-kasichs-claim-population-losse/
John Kasich	4	Ted Strickland destroyed Ohio jobs when he busted the budget.	Might as well call him "Ted the Destroyer"	/ohio/statements/2010/oct/19/john-kasich/kasich-ad-puts-all-states-budget-woes-job-loses-st/
John Kasich	4	We didnt have a development director for over seven months.	Interim directors don't count?	/ohio/statements/2010/aug/17/john-kasich/john-kasich-slams-gov-ted-strickland-leaving-job-c/
John Kasich	5	You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.	A minister wrote this 50 years after Lincoln died	/truth-o-meter/statements/2015/jan/25/john-kasich/did-abraham-lincoln-say-you-cannot-build-little-gu/
John Kasich	5	They talk about this problem with binding arbitration. It doesnt make a lot of sense to me to have somebody from Los Angeles fly into Zanesville and impose a wage settlement on you ... and then theyre on the plane back to Los Angeles.	Out-of-state arbitrators a no go	/ohio/statements/2011/nov/03/john-kasich/john-kasich-slams-use-out-state-arbitrators-contra/
Scott Fitzgerald	4	We continue to see these isolated incidents of people trying to vote five, six times a day.	Some cases of double voting, but none of quintuple or sextuple ballots	/wisconsin/statements/2010/dec/23/scott-fitzgerald/wisconsin-state-sen-scott-fitzgerald-says-some-peo/
Jim Zehringer	0	Ohio is losing over 700 family farms a year, some of them just to pay the inheritance tax.	Agriculture remains important to Ohio's economy	/ohio/statements/2010/dec/09/jim-zehringer/rep-jim-zehringer-point-comment-loss-family-farms-/
Lenar  Whitney	5	Global warming is a hoax.	A 10-year-old can debunk her claim	/truth-o-meter/statements/2014/aug/01/lenar-whitney/republican-congressional-hopeful-says-global-warmi/
Cliff Stearns	0	The cost for renovating the headquarters of the U.N. has doubled from the original estimate.	Project delays have caused the price tag to increase	/florida/statements/2011/feb/28/cliff-stearns/rep-cliff-stearns-says-un-headquarters-remodeling-/
Cliff Stearns	1	Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.	Study examines diagnosis rates, doesn't explain cause	/florida/statements/2011/jul/26/cliff-stearns/cliff-stearns-pushing-research-funding-says-milita/
Cliff Stearns	2	Cuba wants to let the Chinese drill in some of the very parts of the gulf that American producers are currently forbidden to touch, as close as 45 miles off the Florida coast.	Not the 'very same' waters	/florida/statements/2010/mar/31/cliff-stearns/cliff-stearns-cuba-china-oil-drilling/
Cliff Stearns	2	There is no precedent for what the Democrats are doing with this deception. ... We have never written a reconciliation bill to amend a law that does not exist.	Democratic heath care strategy not unique	/truth-o-meter/statements/2010/mar/17/cliff-stearns/stearns-says-house-democrats-trample-procedures-he/
Keep Conservatives United	3	Rick Perry doubled spending in a decade.	Unusual methodology	/texas/statements/2011/sep/14/keep-conservatives-united/pro-bachmann-group-says-texas-spending-has-doubled/
Rhode Island ACLU	0	No other Northeastern state has passed a photo ID law	ACLU has right ID	/rhode-island/statements/2011/may/22/rhode-island-aclu/aclu-says-ri-would-be-lone-northeastern-state-adop/
Jobs Ohio	0	In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.	Out pacing some larger states	/ohio/statements/2012/nov/29/jobs-ohio/jobs-ohio-claims-buckeye-state-nearly-tops-new-job/
Charlie Crist	0	I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.	Florida took the lead in 2007	/florida/statements/2010/oct/24/charlie-crist/charlie-crist-claims-florida-legislature-was-first/
Charlie Crist	0	Gov. Crist has never wavered in his support of the Second Amendment, the right to bear arms.	Crist a straight shooter on gun rights	/florida/statements/2010/jul/14/charlie-crist/crist-stands-firm-gun-rights/
Charlie Crist	0	I have spent virtually every weekend since Memorial Day in the Panhandle.	Charlie Crist and Florida's Panhandle Total BFFs	/florida/statements/2010/jul/02/charlie-crist/charlie-crist-camps-out-floridas-emerald-coast/
Charlie Crist	0	Actually, Reagan was a Democrat before he was a Republican.	He was not a lifelong Republican	/florida/statements/2010/mar/30/charlie-crist/crist-says-reagan-was-democrat-converting-gop/
Charlie Crist	0	Due to ... tax cuts and lower (property) values, 2009 property taxes were almost $3 billion below 2007 property taxes.	Less taxes coming in	/florida/statements/2010/mar/02/charlie-crist/crist-floridians-3-billion-less-taxes/
Charlie Crist	0	We are now seeing a decrease in violent crime.	Crime stats show a drop	/florida/statements/2010/mar/02/charlie-crist/crist-says-violent-crime-decreased-past-three-year/
Charlie Crist	0	Speaker Rubio supported gun restrictions that included background checks and waiting periods.	Yes, he supported "reasonable restrictions"	/florida/statements/2010/feb/26/charlie-crist/charlie-crist-correct-rubio-supported-gun-restrict/
Charlie Crist	0	President Obama has broken his pledge to the American people to be transparent throughout (health care reform negotiations).	Obama said negotiations would be on TV	/florida/statements/2010/jan/05/charlie-crist/gov-charlie-crist-says-obama-breaks-transparency-p/
Charlie Crist	1	Under Rick Scott, homeowners are paying higher (home insurance) premiums for less coverage.	In part to catch up after Crist's rate freeze	/florida/statements/2014/sep/10/charlie-crist/homeowners-are-paying-more-less-insurance-coverage/
